ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"ATTINY85-20SUR"	"TINY85"	"SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL"	"1"	"ATTINY85-20SUR"	"MICROCHIP(美国微芯)"	"LCSC"	"C2693737"	"3.532"
"2"	"R1206"	"R2"	"R1206"	"1"	"LE06W4J0331T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C70752"	""
"3"	"USB-AF-DIP-154-HW-S"	"USB1"	"USB-A-TH_USB-AF-DIP-154-HW-S"	"1"	"USB-AF-DIP-154-HW-S"	"皇捷"	"LCSC"	"C2904892"	"0.132"
